State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,14,15,14,17,15,16,18,19,14,20,29,31,26,26,21,19,12,13,13,13,14,14,16,15,19
Alaska,6,3,6,7,0,9,0,0,0,0,10,23,29,0,11,6,4,3,6,3,0,6,10,33,35
Arizona,30,27,22,21,18,17,28,30,28,26,51,47,57,46,33,39,45,48,36,40,42,42,56,12,58
Arkansas,36,36,31,29,43,36,46,43,43,38,56,63,64,58,16,7,3,4,3,3,1,4,7,57,16
California,56,54,52,52,59,61,59,60,58,62,60,61,63,60,60,58,66,66,69,71,72,68,83,85,81
Colorado,34,36,41,43,37,41,34,30,41,40,53,51,66,60,42,45,39,38,40,43,44,40,57,59,60
Connecticut,94,92,89,88,86,79,83,80,77,78,94,86,100,94,97,92,96,96,96,99,94,93,96,100,100
Delaware,81,76,75,73,79,64,70,73,67,83,95,69,57,70,94,94,93,77,94,92,97,94,97,95,100
Florida,43,42,38,38,40,40,33,25,36,39,39,46,50,51,31,30,37,33,36,41,40,48,58,55,47
Georgia,36,29,31,30,23,24,28,29,35,32,39,41,38,38,33,30,28,27,23,24,26,26,39,39,45
Hawaii,75,83,94,92,93,86,88,86,78,88,80,85,100,92,97,89,95,83,94,100,94,70,84,88,100
Idaho,6,9,3,2,4,2,5,5,8,4,3,15,32,55,9,11,4,3,4,7,4,10,12,12,19
Illinois,55,55,52,53,54,51,58,50,54,54,63,64,69,67,46,43,59,59,51,57,60,60,73,78,76
Indiana,36,36,33,34,31,33,35,31,20,22,47,47,49,46,29,27,22,23,22,24,24,23,32,31,32
Iowa,33,37,26,31,44,43,35,24,23,20,51,58,59,62,53,42,44,49,26,27,24,27,72,74,39
Kansas,16,10,24,26,20,20,26,25,19,25,43,50,25,25,6,8,5,4,0,2,1,2,34,25,28
Kentucky,15,16,8,13,6,5,10,30,16,27,37,42,43,37,35,28,20,21,18,17,21,19,22,24,28
Louisiana,15,15,10,16,9,9,13,21,13,9,21,31,21,37,20,15,13,11,15,19,18,9,20,21,35
Maine,76,86,85,82,93,91,88,91,97,88,100,96,100,100,91,90,95,94,54,59,60,54,97,98,95
Maryland,64,66,64,63,71,68,79,76,74,89,81,91,83,85,74,71,80,83,81,85,83,77,85,87,86
Massachusetts,94,93,96,94,94,93,96,99,94,99,94,98,98,93,94,92,94,96,97,98,97,90,97,99,100
Michigan,54,58,58,58,55,56,41,41,43,52,45,51,67,56,43,42,37,37,37,39,39,42,56,61,62
Minnesota,59,63,68,67,67,65,48,41,53,50,64,66,61,66,41,36,49,46,47,50,52,40,59,64,58
Mississippi,19,22,33,30,26,26,30,39,33,27,44,61,54,60,26,21,22,30,22,24,24,22,28,31,26
Missouri,36,37,44,41,37,35,28,37,37,39,39,43,46,37,37,32,21,23,23,25,23,24,28,31,33
Montana,13,10,6,10,0,0,0,0,11,0,10,8,7,10,9,6,4,0,3,5,9,3,3,19,0
Nebraska,19,16,17,18,5,6,12,3,2,14,22,23,17,20,15,11,4,5,14,24,8,10,24,24,22
Nevada,41,31,44,47,39,48,27,36,33,36,40,56,67,63,26,33,41,49,26,27,75,74,75,80,79
New Hampshire,51,47,29,33,46,41,48,27,39,75,95,100,100,90,29,36,96,96,50,54,97,89,97,100,100
New Jersey,81,81,81,82,87,81,78,76,72,85,84,75,78,72,67,55,52,57,52,60,68,70,94,94,90
New Mexico,20,16,33,38,36,36,37,42,39,39,38,44,95,90,65,64,62,61,60,67,68,63,97,98,75
New York,68,70,72,72,75,72,71,74,68,78,80,81,88,88,72,65,72,73,69,72,71,72,84,86,77
North Carolina,37,39,35,35,38,36,42,38,47,45,51,51,58,62,50,40,27,27,24,24,25,24,28,30,45
North Dakota,38,38,56,57,71,68,50,82,56,67,85,85,71,60,6,6,4,0,0,3,0,3,10,0,17
Ohio,43,44,39,40,40,41,35,36,32,38,40,46,60,54,35,30,27,27,26,26,26,26,29,38,40
Oklahoma,11,8,6,4,5,7,12,9,6,5,4,18,13,26,11,7,6,3,4,1,3,4,24,23,7
Oregon,71,74,70,72,76,75,71,82,82,77,80,78,83,76,73,75,71,71,69,75,76,72,80,81,82
Pennsylvania,45,45,45,44,44,46,34,43,35,47,62,66,66,60,38,33,30,28,30,36,35,45,52,59,58
Rhode Island,82,85,88,88,93,95,98,100,100,67,93,85,86,90,96,94,91,94,99,100,100,97,97,100,100
South Carolina,43,42,37,34,31,32,33,33,34,42,33,38,37,37,20,18,16,16,14,16,17,20,32,31,23
South Dakota,13,17,6,10,0,9,5,23,56,50,70,77,64,70,14,6,4,3,3,0,0,3,7,10,17
Tennessee,33,29,30,29,34,31,44,43,33,39,48,53,49,46,26,24,23,22,21,21,23,23,26,30,26
Texas,30,31,34,36,32,32,32,36,20,22,30,33,36,33,26,27,28,28,24,26,27,28,37,41,40
Utah,23,15,13,8,24,27,23,18,19,19,22,26,21,37,15,11,9,7,1,1,1,6,24,26,17
Vermont,94,97,100,100,100,95,90,91,94,100,95,92,93,100,97,89,93,91,94,97,97,94,97,100,100
Virginia,35,35,32,37,28,28,31,34,31,37,35,35,53,53,41,32,31,25,28,28,37,36,64,66,65
Washington,43,39,50,51,65,59,67,63,65,68,72,71,71,76,61,56,59,57,58,61,62,61,72,76,78
West Virginia,52,58,50,56,50,58,47,61,50,61,50,72,67,63,27,22,19,14,5,1,0,7,8,19,14
Wisconsin,68,69,59,60,70,68,64,57,58,67,71,68,68,59,39,36,39,38,35,41,42,42,43,42,46
Wyoming,6,3,6,3,0,5,5,0,6,0,0,0,0,10,11,9,0,3,3,0,0,0,3,5,30
