State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,0,0,0,0,0,4,5,0,5,0,10,18,14,14,14,14,19,10,4,0,0,43,57,35,7
Alaska,7,4,0,0,6,4,8,0,8,14,33,9,59,36,55,50,58,20,2,27,0,11,25,12,35
Arizona,15,7,6,3,13,22,34,33,25,29,7,9,5,14,9,4,27,20,2,9,6,4,43,15,97
Arkansas,57,54,6,16,31,18,37,67,63,43,63,91,91,7,45,46,35,40,0,3,0,4,18,38,15
California,100,97,95,91,88,88,84,100,90,100,83,100,100,100,100,100,96,80,94,88,100,96,86,88,100
Colorado,15,7,0,3,6,8,5,0,43,50,47,59,100,50,100,97,92,70,50,65,42,54,61,46,97
Connecticut,100,100,95,91,94,84,63,100,80,86,77,100,100,64,100,93,100,80,100,100,98,100,100,88,100
Delaware,86,70,67,75,81,78,92,83,85,86,80,82,100,100,100,93,92,80,88,94,92,100,100,92,100
Florida,43,47,39,41,81,66,74,100,50,29,57,64,55,50,55,54,46,40,42,53,48,36,7,8,12
Georgia,29,30,45,94,69,34,0,0,3,0,7,9,9,0,5,21,19,0,0,9,0,7,21,8,100
Hawaii,65,74,61,63,81,70,68,100,70,86,83,95,100,86,91,93,100,70,98,100,100,100,100,96,100
Idaho,0,0,0,0,0,4,0,0,5,0,13,14,18,14,9,11,8,20,0,12,0,7,7,0,21
Illinois,93,94,72,75,69,72,55,42,95,100,80,59,100,67,55,100,62,50,70,68,100,93,100,92,100
Indiana,15,17,50,56,50,34,39,50,53,57,63,50,50,7,0,7,42,30,34,38,32,39,18,8,22
Iowa,43,47,50,50,50,44,34,42,53,43,60,59,50,43,45,54,58,40,2,3,0,4,11,8,25
Kansas,7,4,17,13,0,2,0,8,5,14,3,18,18,0,0,18,12,10,0,0,0,11,21,8,15
Kentucky,36,34,0,0,0,2,0,0,0,0,7,14,5,7,14,4,8,10,4,12,3,11,7,15,21
Louisiana,57,64,11,31,31,20,16,67,30,22,27,27,50,14,50,29,42,30,0,12,0,7,7,0,16
Maine,71,60,67,56,44,68,71,50,70,79,90,95,68,0,59,71,81,40,80,85,53,57,79,62,78
Maryland,100,97,78,84,100,92,82,100,93,100,93,95,100,100,100,100,96,80,96,97,100,100,100,92,100
Massachusetts,100,100,95,88,88,88,71,58,95,86,93,68,100,43,68,75,100,80,100,100,98,100,89,69,100
Michigan,43,47,39,41,94,76,84,100,83,64,67,100,100,100,91,93,100,80,100,100,98,100,100,92,100
Minnesota,50,50,50,50,100,96,50,42,63,58,60,86,100,86,86,93,100,80,100,100,100,100,89,77,100
Mississippi,0,0,0,0,6,4,0,17,0,7,0,9,23,0,5,25,31,0,0,18,0,5,18,12,21
Missouri,7,4,0,0,31,34,3,0,8,14,37,50,55,21,45,36,50,20,40,53,40,43,14,8,16
Montana,29,30,39,34,38,32,21,42,30,43,73,100,100,50,91,83,88,60,42,50,42,54,64,54,57
Nebraska,50,50,50,41,19,14,11,33,18,29,43,50,32,0,27,36,19,20,0,3,0,11,4,0,19
Nevada,71,70,73,78,56,64,50,33,60,50,60,59,50,57,37,54,62,40,8,62,45,54,100,92,100
New Hampshire,50,37,22,19,19,36,47,17,35,43,57,23,59,43,55,65,65,40,76,74,100,96,100,92,100
New Jersey,100,97,84,91,94,88,87,100,90,93,93,91,100,100,100,97,67,80,100,100,95,100,75,96,100
New Mexico,43,37,34,34,44,36,39,50,38,57,57,59,100,79,100,100,100,80,94,100,92,96,96,88,97
New York,58,54,72,78,88,90,92,100,98,71,83,64,100,100,100,93,100,70,100,100,100,100,96,100,100
North Carolina,7,10,39,44,44,34,24,8,3,0,7,36,55,21,55,47,50,30,4,21,0,11,25,15,28
North Dakota,43,53,67,69,69,56,50,83,63,43,80,91,91,57,45,50,46,20,20,33,29,29,14,15,22
Ohio,65,50,11,16,6,6,13,0,30,57,53,55,59,64,45,57,54,40,52,68,48,54,64,54,68
Oklahoma,0,0,0,0,0,0,5,0,3,15,3,9,0,7,14,11,4,10,2,9,0,11,0,0,19
Oregon,50,53,67,59,44,52,61,58,70,57,80,95,100,93,100,100,100,80,96,100,98,100,100,92,100
Pennsylvania,29,27,22,19,25,28,16,8,25,14,80,64,82,86,50,40,46,30,44,50,50,46,50,50,57
Rhode Island,86,80,100,100,75,84,87,75,95,86,93,100,100,100,100,100,92,80,100,100,100,100,93,100,100
South Carolina,36,37,28,31,44,38,32,50,13,22,7,9,5,7,18,14,15,0,6,15,3,7,21,12,29
South Dakota,71,77,73,72,75,60,61,58,48,43,33,55,50,36,45,57,50,60,2,3,0,11,18,4,26
Tennessee,36,20,0,0,13,6,8,0,10,22,30,23,18,7,18,14,23,20,14,21,5,7,29,8,12
Texas,0,0,0,0,0,6,3,17,3,0,3,18,9,0,9,14,12,10,0,3,0,11,4,4,13
Utah,0,7,0,0,0,4,3,0,8,14,10,18,23,0,18,7,8,20,2,9,0,7,7,0,25
Vermont,79,77,95,88,88,86,95,100,90,100,87,100,100,100,95,100,100,80,100,53,100,100,85,77,99
Virginia,50,50,56,50,13,8,5,0,13,7,67,59,100,71,100,68,92,70,84,94,87,100,100,92,100
Washington,43,47,56,44,75,78,97,100,93,93,87,95,100,86,100,93,92,80,96,100,100,100,96,92,100
West Virginia,64,70,56,63,88,68,74,100,73,64,73,82,64,51,82,75,62,40,22,36,24,25,57,35,56
Wisconsin,93,97,84,88,81,74,82,100,83,86,93,100,100,86,50,43,54,50,50,53,50,50,50,46,62
Wyoming,0,0,0,0,0,0,0,0,13,0,17,18,9,14,9,7,0,20,0,12,0,7,7,0,13
