Year,2020,,2016,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,PVG,PVG,PVG,PVG,PVG,PVG,PVG
State,Biden %,Trump%,Total,"Clinton, Hillary - Democratic","Trump, Donald - Republican",Total,"Obama, Barack - Democratic","Romney, Mitt - Republican",Total,"Obama, Barack - Democratic","McCain, John - Republican",Total,"Kerry, John - Democratic","Bush, George W. - Republican",Total,"Gore, Al - Democratic","Bush, George W. - Republican","Nader, Ralph - Green",Total,"Clinton, Bill - Democratic","Dole, Bob - Republican","Perot, Ross - Reform",PVG_2020,PVG_2016,PVG_2012,PVG_2008,PVG_2004,PVG_2000,PVG_1996
Alabama,0.366,0.62,2047802,729547,1318255,2051621,795696,1255925,2080025,813479,1266546,1870327,693933,1176394,1640011,695602,944409,18349,1431209,662165,769044,92149,-25.4,-28.74828719,-22.43245707,-21.78180551,-25.7955427,-15.17105678,-7.467742307
Alaska,0.428,0.528,279841,116454,163387,287316,122640,164676,317435,123594,193841,301914,111025,190889,246402,79004,167398,28747,203126,80380,122746,26333,-10,-16.77130942,-14.63058096,-22.12956983,-26.45256596,-35.87389713,-20.85700501
Arizona,0.494,0.491,2413568,1161167,1252401,2258886,1025232,1233654,2264818,1034707,1230111,1997818,893524,1104294,1466993,685341,781652,45645,1275361,653288,622073,112072,0.3,-3.780046802,-9.226760447,-8.627801439,-10.55001006,-6.565198334,2.447542304
Arkansas,0.348,0.624,1065366,380494,684872,1042153,394409,647744,1060327,422310,638017,1042851,469953,572898,895708,422768,472940,13421,800587,475171,325416,69884,-27.6,-28.57027538,-24.3088107,-20.34344122,-9.871496503,-5.601379021,18.70564973
California,0.635,0.343,13237598,8753788,4483810,12694243,7854285,4839958,13286254,8274473,5011781,12255311,6745485,5509826,10428632,5861203,4567429,418707,8948215,5119835,3828380,697847,29.2,32.25644109,23.74562233,24.55689918,10.08264091,12.40598,14.43254325
Colorado,0.554,0.419,2541354,1338870,1202484,2508345,1323102,1185243,2362262,1288633,1073629,2102981,1001725,1101256,1621972,738227,883745,91434,1363000,671152,691848,99629,13.5,5.366666745,5.496014304,9.101615316,-4.732853031,-8.971671521,-1.51841526
Connecticut,0.593,0.392,1570787,897572,673215,1540008,905109,634899,1627201,997773,629428,1551314,857488,693826,1377109,816015,561094,64452,1218849,735740,483109,139523,20.1,14.28309503,17.54601275,22.63672404,10.54989512,18.5113161,20.72701376
Delaware,0.587,0.398,420730,235603,185127,408068,242584,165484,407833,255459,152374,371812,200152,171660,317356,180068,137288,8307,239417,140355,99062,28719,18.9,11.99724289,18.89390984,25.2762773,7.66301249,13.48012957,17.24731327
Florida,0.479,0.512,9122861,4504975,4617886,8401203,4237756,4163447,8328586,4282367,4046219,7548066,3583544,3964522,5825043,2912253,2912790,97488,4791406,2546870,2244536,483870,-3.3,-1.237670946,0.884504279,2.835391266,-5.047359151,-0.009218816,6.30992239
Georgia,0.495,0.492,3967067,1877963,2089104,3852515,1773827,2078688,3892882,1844123,2048759,3280403,1366149,1914254,2535950,1116230,1419720,13432,2134692,1053849,1080843,146337,0.3,-5.322345199,-7.913298196,-5.256671022,-16.70846539,-11.96750725,-1.264538397
Hawaii,0.637,0.343,395738,266891,128847,427673,306658,121015,446437,325871,120566,425899,231708,194191,343131,205286,137845,21623,318955,205012,113943,27358,29.4,34.8826749,43.407697,45.98745176,8.808896006,19.65459256,28.55230362
Idaho,0.331,0.638,598820,189765,409055,633698,212787,420911,639452,236440,403012,590333,181098,409235,475574,138637,336937,12292,422038,165443,256595,62518,-30.7,-36.62035336,-32.84277369,-26.04917961,-38.64547637,-41.69698091,-21.59805515
Illinois,0.575,0.406,5236744,3090729,2146015,5154728,3019512,2135216,5450527,3419348,2031179,5237496,2891550,2345946,4608447,2589026,2019421,103759,3928765,2341744,1587021,346408,16.9,18.04010278,17.15504678,25.46852809,10.4172681,12.36002063,19.21018437
Indiana,0.41,0.57,2590412,1033126,1557286,2577147,1154275,1422872,2719687,1374039,1345648,2448449,969011,1479438,2147816,901980,1245836,18531,1894117,887424,1006693,224299,-16,-20.23461905,-10.42226152,1.043906891,-20.8469525,-16.00956507,-6.29681271
Iowa,0.449,0.531,1454652,653669,800983,1553161,822544,730617,1511319,828940,682379,1493855,741898,751957,1272890,638517,634373,29374,1112902,620258,492644,105159,-8.2,-10.12709569,5.918703856,9.697555579,-0.673358525,0.325558375,11.46677785
Kansas,0.416,0.562,1098023,427005,671018,1129717,439908,689809,1214420,514765,699655,1171449,434993,736456,1021608,399276,622332,36086,970904,387659,583245,92639,-14.6,-22.22294069,-22.1206727,-15.22455164,-25.73419756,-21.83381493,-20.1447311
Kentucky,0.362,0.621,1831825,628854,1202971,1766560,679370,1087190,1800447,751985,1048462,1782172,712733,1069439,1511390,638898,872492,23192,1259897,636614,623283,120396,-25.9,-31.34125804,-23.08554479,-16.46685518,-20.01523983,-15.45557401,1.058102369
Louisiana,0.399,0.585,1958792,780154,1178638,1961403,809141,1152262,1931264,782989,1148275,1922468,820299,1102169,1720215,792344,927871,20473,1640423,927837,712586,123293,-18.6,-20.34335448,-17.49365123,-18.91434832,-14.66188254,-7.878491933,13.12167654
Maine,0.531,0.44,693328,357735,335593,693582,401306,292276,717196,421923,295273,727043,396842,330201,606567,319951,286616,37127,499166,312788,186378,85970,9.1,3.193582258,15.71984279,17.65904997,9.166032821,5.495683082,25.32424083
Maryland,0.654,0.322,2621097,1677928,943169,2649713,1677844,971869,2589329,1629467,959862,2359196,1334493,1024703,1959579,1145782,813797,53768,1647737,966207,681530,115812,33.2,28.03249937,26.64345157,25.86017459,13.13116842,16.9416492,17.27684697
Massachusetts,0.656,0.321,3086089,1995196,1090893,3110221,1921761,1188460,3012952,1904098,1108854,2874909,1803800,1071109,2494989,1616487,878502,173564,2289870,1571763,718107,227217,33.5,29.30255738,23.57713487,26.39418086,25.48571103,29.57868752,37.2796709
Michigan,0.506,0.478,4548382,2268839,2279543,4679825,2564569,2115256,4921218,2872579,2048639,4792929,2479183,2313746,4123557,2170418,1953139,84165,3470865,1989653,1481212,336670,2.8,-0.235336434,9.601064142,16.74260315,3.451688936,5.269212963,14.64882673
Minnesota,0.524,0.453,2691057,1367825,1323232,2866392,1546167,1320225,2848763,1573354,1275409,2791709,1445014,1346695,2277925,1168266,1109659,126696,1886914,1120438,766476,257704,7.1,1.657081214,7.882452923,10.45874999,3.521821221,2.572823952,18.75877756
Mississippi,0.411,0.576,1185845,485131,700714,1273695,562949,710746,1279259,554662,724597,1143075,458094,684981,978194,404964,573230,8126,833860,394022,439838,52222,-16.5,-18.17969465,-11.6037984,-13.28386199,-19.84882882,-17.20170028,-5.494447509
Missouri,0.414,0.568,2665579,1071068,1594511,2706236,1223796,1482440,2887725,1441911,1445814,2714884,1259171,1455713,2301062,1111138,1189924,38515,1915951,1025935,890016,217188,-15.4,-19.63712199,-9.557333507,-0.135158299,-7.239425331,-3.423897314,7.094074953
Montana,0.406,0.569,456949,177709,279240,469767,201839,267928,476041,232159,243882,439773,173710,266063,377304,137126,240178,24437,347574,167922,179652,55229,-16.3,-22.21932863,-14.06846373,-2.462603011,-21.00015235,-27.31272396,-3.374820901
Nebraska,0.392,0.582,780455,284494,495961,777145,302081,475064,786298,333319,452979,767142,254328,512814,665642,231780,433862,24540,600228,236761,363467,71278,-19,-27.09534823,-22.25878054,-15.21814884,-33.69467452,-30.35896172,-21.109645
Nevada,0.501,0.477,1051318,539260,512058,994940,531373,463567,946563,533736,412827,815880,397190,418690,581553,279978,301575,15008,403218,203974,199244,43986,2.4,2.58741884,6.815084327,12.77347625,-2.63519145,-3.713676999,1.17306271
New Hampshire,0.527,0.454,694316,348526,345790,699479,369561,329918,701360,384826,316534,671748,340511,331237,539907,266348,273559,22198,442746,246214,196532,48390,7.3,0.394056885,5.667503957,9.73708224,1.38057724,-1.33560039,11.22133232
New Jersey,0.573,0.414,3750211,2148278,1601933,3605359,2126610,1478749,3828629,2215422,1613207,3581433,1911430,1670003,3073023,1788850,1284173,94554,2755407,1652329,1103078,262134,15.9,14.56838029,17.96938946,15.72925974,6.741072638,16.42281883,19.93357061
New Mexico,0.543,0.435,704901,385234,319667,751123,415335,335788,819254,472422,346832,747872,370942,376930,573200,286783,286417,21251,506246,273495,232751,32257,10.8,9.301589869,10.59040929,15.32980004,-0.800671773,0.063852059,8.048261122
New York,0.609,0.378,7375658,4556124,2819534,6976373,4485877,2490496,7557716,4804945,2752771,7276847,4314280,2962567,6519467,4113791,2405676,244398,5689669,3756177,1933492,503458,23.1,23.54488237,28.60198272,27.15336221,18.57553141,26.20022465,32.03499184
North Carolina,0.486,0.499,4551947,2189316,2362631,4448786,2178391,2270395,4271125,2142651,2128474,3487015,1525849,1961166,2888855,1257692,1631163,0,2333787,1107849,1225938,168059,-1.3,-3.807491607,-2.068069806,0.3319266,-12.483944,-12.92799396,-5.059973339
North Dakota,0.318,0.651,310552,93758,216794,312990,124827,188163,310290,141403,168887,307703,111052,196651,270136,95284,174852,9497,231955,106905,125050,32515,-33.3,-39.61848579,-20.23579028,-8.857520384,-27.8187083,-29.45479314,-7.822638012
Ohio,0.452,0.533,5235169,2394164,2841005,5489146,2827709,2661437,5617864,2940044,2677820,5600935,2741167,2859768,4537399,2186190,2351209,117857,4008105,2148222,1859883,483207,-8.1,-8.535369154,3.029105074,4.667681525,-2.11752145,-3.636863322,7.193898363
Oklahoma,0.323,0.654,1369511,420375,949136,1334872,443547,891325,1462661,502496,960165,1463758,503966,959792,1218613,474276,744337,0,1070420,488105,582315,130788,-33.1,-38.60947448,-33.54463949,-31.29016225,-31.14080333,-22.16134244,-8.801218213
Oregon,0.565,0.404,1784509,1002106,782403,1724663,970488,754175,1775766,1037291,738475,1809994,943163,866831,1433919,720342,713577,77357,1187793,649641,538152,121221,16.1,12.31167789,12.54233436,16.82744235,4.217251549,0.471783971,9.386231439
Pennsylvania,0.5,0.488,5897174,2926441,2970733,5670708,2990274,2680434,5932248,3276363,2655885,5731942,2938095,2793847,4767094,2485967,2281127,103392,4016988,2215819,1801169,430984,1.2,-0.751071615,5.463868004,10.45940763,2.516564194,4.296957434,10.32241072
Rhode Island,0.594,0.386,433068,252525,180543,436881,279677,157204,461962,296571,165391,428806,259760,169046,380063,249508,130555,25052,337733,233050,104683,43723,20.8,16.62140819,28.03349196,28.39627502,21.15502115,31.29823214,38.00842677
South Carolina,0.434,0.551,2010762,855373,1155389,1937586,865941,1071645,1897345,862449,1034896,1599673,661699,937974,1352465,566039,786426,20279,1077509,504051,573458,64386,-11.7,-14.92051272,-10.61650941,-9.088858378,-17.2707172,-16.29520912,-6.441431116
South Dakota,0.356,0.618,345179,117458,227721,355649,145039,210610,373978,170924,203054,381828,149244,232584,309504,118804,190700,0,289876,139333,150543,31250,-26.2,-31.94371616,-18.43699828,-8.591414468,-21.8265816,-23.22942514,-3.86717079
Tennessee,0.375,0.607,2393620,870695,1522925,2423039,960709,1462330,2566615,1087437,1479178,2418496,1035160,1383336,2043669,981720,1061949,19781,1772676,909146,863530,105918,-23.2,-27.24868609,-20.70214305,-15.2629436,-14.39638519,-3.92573357,2.573284684
Texas,0.465,0.521,8562915,3877868,4685047,7877967,3308124,4569843,8007961,3528633,4479328,7359621,2832704,4526917,6233385,2433746,3799639,137994,5195850,2459683,2736167,378537,-5.6,-9.426451156,-16.01579443,-11.8718735,-23.02038379,-21.9125403,-5.321246764
Utah,0.377,0.581,825907,310676,515231,992413,251813,740600,923700,327670,596030,904941,241199,663742,718149,203053,515096,35850,583544,221633,361911,66461,-20.4,-24.76731642,-49.25237779,-29.05272275,-46.69287832,-43.45101086,-24.03897564
Vermont,0.661,0.307,273942,178573,95369,291937,199239,92698,318236,219262,98974,305247,184067,121180,268797,149022,119775,20374,218246,137894,80352,31024,35.4,30.37285265,36.49451765,37.79836348,20.60200428,10.88070179,26.36566077
Virginia,0.541,0.44,3750916,1981473,1769443,3794342,1971820,1822522,3684537,1959532,1725005,3171701,1454742,1716959,2654780,1217290,1437490,59398,2229410,1091060,1138350,159861,10.1,5.652752554,3.934753378,6.365168812,-8.267393427,-8.294472612,-2.121189014
Washington,0.58,0.388,2964465,1742718,1221747,3046066,1755396,1290670,2980064,1750848,1229216,2815095,1510201,1304894,2356516,1247652,1108864,103002,1964035,1123323,840712,201003,19.2,17.5738624,15.25659654,17.5040536,7.293075367,5.889542019,14.38930569
West Virginia,0.297,0.686,678165,188794,489371,655924,238269,417655,701323,303857,397466,750319,326541,423778,631972,295497,336475,10680,561758,327812,233946,71639,-38.9,-44.3221045,-27.34859526,-13.34748753,-12.95942126,-6.484148032,16.70933035
Wisconsin,0.495,0.488,2787820,1382536,1405284,3028951,1620985,1407966,2939604,1677211,1262393,2967624,1489504,1478120,2480266,1242987,1237279,94070,1917000,1071971,845029,227339,0.7,-0.815978076,7.032764809,14.1113565,0.383606549,0.230136606,11.83839332
Wyoming,0.266,0.699,230392,55973,174419,240248,69286,170962,247826,82868,164958,238405,70776,167629,208428,60481,147947,4625,183322,77934,105388,25928,-43.3,-51.41063926,-42.32126802,-33.12404671,-40.62540635,-41.96461128,-14.97583487
