State.Abb,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,15,10,19,4,5,11,28,46,14,2,13,7,17,10,6,5,54,7,34,23,19,19,93,5,30
AL,1640,2244,1961,2056,1717,2055,1769,1845,1908,2041,2173,1844,1823,2293,2037,2037,1719,1829,2088,2305,1922,2251,2291,1989,1893
AR,1558,2234,1810,1901,1796,1768,1624,1610,1920,1844,1920,1604,1511,2189,2047,2155,1639,1525,1877,2011,1687,2056,1886,1619,1800
AZ,3033,2648,2818,3154,3200,3081,3197,2904,2972,3047,3212,2964,3085,2910,3091,3182,3032,3078,3096,3180,3302,3213,2942,3520,3121
CA,960,780,699,832,933,829,1057,857,812,1012,889,1017,967,703,774,1020,965,1175,1158,1024,1166,1102,894,1206,1144
CO,262,319,265,417,398,446,412,160,330,372,403,296,188,350,424,499,364,261,338,358,318,395,372,452,427
CT,440,581,707,360,570,617,556,476,749,598,563,569,444,786,712,701,644,528,712,796,592,822,665,772,705
DE,846,1107,1154,869,1001,1249,999,1085,1273,1126,1220,1121,978,1490,1350,1332,1090,1016,1292,1356,1163,1389,1373,1254,1253
FL,3467,3826,3438,3350,3375,3605,3562,3435,3417,3484,3634,3375,3575,3364,3680,3553,3611,3451,4156,3852,3882,3836,4062,4073,3761
GA,1428,2007,1708,1711,1535,1862,1550,1702,1707,1761,1879,1648,1637,2058,1904,1822,1490,1644,1872,2097,1753,2014,2116,1804,1673
HI,4578,4208,4152,4454,4641,4559,4754,4839,4702,4339,4595,4581,4429,4418,4624,4300,4343,4683,4906,4655,4684,4901,5127,5066,4728
IA,722,935,819,808,819,912,753,606,956,849,981,710,557,950,894,1070,798,656,763,942,807,1003,830,879,977
ID,397,570,365,478,543,473,644,440,426,569,635,445,467,334,427,570,646,530,596,446,606,532,445,478,717
IL,702,1032,940,809,878,1025,754,683,1112,875,1058,795,630,1117,985,1159,809,729,846,1091,844,1100,938,953,1064
IN,680,1022,991,793,857,1086,738,762,1062,839,1106,825,688,1172,1028,1142,833,748,876,1109,840,1172,1007,919,1030
KS,1263,1693,1351,1680,1584,1565,1430,1212,1529,1580,1584,1269,1159,1668,1778,1825,1374,1343,1515,1638,1406,1699,1465,1395,1588
KY,946,1367,1306,1137,1141,1386,1013,1087,1355,1138,1516,1160,1023,1553,1302,1396,1081,1110,1247,1497,1161,1529,1438,1208,1258
LA,2471,3046,2727,2788,2510,2664,2598,2705,2728,2776,2675,2522,2657,2921,2883,2845,2518,2420,2978,2971,2741,3002,2908,2846,2699
MA,381,481,605,298,490,546,520,390,632,511,483,498,373,686,579,597,588,443,589,666,475,710,576,699,667
MD,869,1167,1143,876,973,1259,983,1118,1269,1141,1258,1082,987,1455,1329,1305,1039,969,1237,1325,1108,1356,1360,1247,1298
ME,185,218,336,120,263,252,245,159,267,260,179,219,161,305,261,289,260,232,252,293,215,333,254,312,304
MI,385,665,635,431,560,702,463,412,777,582,654,524,368,760,686,769,537,442,561,769,561,777,634,699,762
MN,385,515,482,395,521,533,467,279,554,578,552,394,295,542,534,638,453,395,466,508,401,559,437,553,652
MO,1086,1464,1251,1314,1277,1354,1170,996,1424,1330,1501,1088,982,1515,1439,1608,1145,1107,1273,1487,1252,1599,1340,1223,1379
