Coal Emissions by State (1970 - 2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change from 1970 - 2021,
million metric tons of carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute
Alabama,63.3,58.7,62.8,64.6,61.4,60.1,59.4,59.2,54.4,63.1,62.3,59.5,48.3,50.4,55.2,62.7,62.6,62.5,61.8,64.6,64.6,68.7,73.6,76.9,73.1,78.4,84.3,82.1,81.2,82.3,85.9,80.1,80.5,83.2,81.3,84.9,84.5,84.6,80.3,60.1,68.5,62.0,52.1,53.8,54.8,47.1,39.1,36.1,35.9,30.2,24.5,29.6,-53.22%,-33.7
Alaska,1.2,1.3,1.2,1.3,1.2,1.4,1.3,1.0,0.4,0.4,0.4,1.2,1.3,1.2,1.2,1.1,1.2,0.4,0.4,0.4,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.1,1.6,1.6,1.6,1.5,1.6,1.2,1.3,1.3,1.4,1.3,1.4,1.4,1.4,1.5,1.5,1.4,1.7,1.9,1.6,1.6,1.7,1.7,1.8,1.8,43.58%,0.5
Arizona,0.8,0.8,0.7,0.9,4.6,8.8,13.3,17.1,15.2,23.4,23.3,30.4,32.0,28.1,30.9,32.5,28.1,26.9,29.4,33.6,32.7,33.1,35.2,37.0,38.2,32.6,32.6,35.1,36.8,38.4,41.2,40.4,38.8,38.8,40.6,41.0,41.2,41.8,43.8,39.5,43.7,43.9,40.2,43.4,42.8,36.9,30.9,32.0,31.7,24.6,15.0,15.4,1772.62%,14.5
Arkansas,0.0,0.0,0.0,0.2,0.3,0.1,0.3,0.5,2.2,3.0,3.5,9.7,11.9,16.9,15.6,20.9,21.4,20.1,20.8,19.3,20.2,20.6,21.0,19.0,21.1,22.6,24.7,23.4,24.2,25.4,25.5,26.1,24.4,24.2,25.8,23.6,24.5,26.2,26.6,25.2,28.0,29.2,28.4,31.2,32.4,21.7,23.5,25.6,29.1,22.9,15.5,20.7,inf,20.7
California,5.6,4.6,4.3,6.1,5.5,5.2,6.1,6.9,6.3,6.3,6.1,7.3,6.4,3.0,3.5,4.3,4.0,4.3,4.8,6.3,8.0,8.5,8.7,8.0,8.0,8.0,7.6,7.8,6.3,6.6,6.6,6.4,6.6,6.5,6.5,6.4,6.4,6.3,6.0,5.0,5.2,5.3,4.2,3.6,3.8,3.0,3.1,3.2,3.2,3.0,2.7,2.7,-52.05%,-2.9
Colorado,10.9,9.9,11.2,13.2,13.0,15.0,17.5,21.2,20.7,22.5,23.4,26.4,26.2,24.2,27.3,28.4,28.1,28.2,29.6,30.8,32.1,31.5,32.4,32.9,34.1,32.7,33.3,34.4,34.7,34.7,36.9,38.1,37.3,37.7,37.3,37.0,37.6,37.1,36.8,33.4,36.5,35.2,35.4,34.7,33.5,32.5,30.7,30.2,27.2,26.1,20.8,24.2,122.16%,13.3
Connecticut,4.6,3.5,0.4,0.2,0.6,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,2.0,2.0,2.0,2.2,2.3,3.7,3.7,3.7,3.5,3.7,3.9,3.9,4.3,3.1,1.4,3.5,3.8,3.3,4.0,4.2,4.0,4.4,3.8,4.3,2.5,2.7,0.6,0.9,0.7,0.9,0.6,0.2,0.2,0.4,0.1,0.0,0.3,-94.03%,-4.3
Delaware,3.5,3.5,2.2,2.0,2.0,2.2,1.9,1.7,2.1,2.3,2.7,4.8,4.6,6.9,6.9,6.8,6.3,6.7,6.6,5.8,5.7,5.4,4.4,6.0,5.5,5.0,4.8,4.6,4.4,3.4,4.8,3.6,3.9,4.5,5.1,5.4,5.4,6.1,5.8,3.2,2.9,1.7,1.7,1.7,1.0,0.7,0.8,0.5,0.4,0.2,0.2,0.4,-87.71%,-3.1
District of Columbia,2.7,1.5,1.2,1.3,1.2,1.0,0.6,0.4,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.00%,-2.7
Florida,11.1,11.1,11.8,14.5,13.9,12.7,13.5,15.2,16.7,19.2,21.4,22.5,22.8,30.3,36.0,44.9,43.7,55.8,58.1,60.5,60.2,61.9,61.9,62.1,62.9,65.3,70.9,71.4,71.2,68.2,72.4,69.1,68.7,69.2,66.8,64.3,66.4,68.8,66.2,55.5,60.9,52.8,46.1,48.2,53.3,44.6,40.7,39.0,31.4,22.3,17.3,19.2,72.77%,8.1
