State.Abb,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,708741,723206,725331,742061,735745,732909,733471,775019,797723,746457,723227,650500,639276,639133,640854,630647,597148,596361,613106,593587,601178,604191,605430,639944,684202
AL,1956297,1997696,2040647,2093922,1898857,1960152,1952741,2065880,2065572,2083658,2086092,2002980,1799636,1941909,1916810,1891076,1932020,1967057,1916945,1923027,1903905,1957431,1927044,1841408,1965183
AR,1061415,1081796,1100812,1141593,1096056,1118366,1100644,1091797,1116515,1113117,1128983,1110210,1041215,1129013,1131010,1075516,1106666,1121760,1062465,1054169,1057611,1117595,1097181,1035335,1079088
AZ,1187416,1240977,1285003,1332442,1341725,1334302,1354530,1404378,1443201,1491841,1498158,1465548,1379229,1434250,1475386,1442764,1460855,1471831,1492117,1522012,1528744,1539983,1554490,1505793,1563100
CA,7528200,7806315,7801794,7893162,7918465,7963161,7848348,8216594,8151473,8246625,8260399,8074758,7769975,7647617,7651423,7447693,7562889,7477126,7573842,7703773,7828256,7925755,7898681,7052622,7387887
CO,1138201,1184705,1206091,1268642,1369867,1370535,1372163,1399562,1435703,1451336,1483847,1487439,1464621,1516415,1477060,1444707,1475531,1491729,1498481,1467501,1474403,1524948,1565544,1449530,1509199
CT,811129,791157,834267,844550,829135,815224,894333,907099,875719,819793,842119,774587,766180,769660,743143,727831,747138,751780,757067,725275,729190,756243,735382,666750,704399
DE,274786,272891,286222,305695,292031,308593,303732,289192,299825,287815,293722,291503,259382,266328,285552,283401,280780,280880,284612,280875,280001,300475,298525,277060,295468
FL,3726429,3859240,3922071,4076022,4060590,4177962,4195567,4347431,4419873,4472498,4417303,4264864,4113233,4317742,4168074,4066543,4125461,4168646,4320466,4358034,4342064,4435866,4367378,3998608,4313202
GA,2744916,2783049,2803980,2920928,2818753,2936048,2956845,3097207,3110770,3087831,3078378,2946557,2912076,3146322,3031813,2844901,2904119,2974195,2974892,2948596,2922964,3000415,2952547,2723253,2833492
HI,273483,273387,269351,273306,270121,284661,300913,314718,324734,327282,337816,276626,275893,297486,302659,297213,301838,295573,299448,301031,309320,307152,308584,232804,270780
IA,1139792,1148872,1199639,1196131,1167631,1197176,1192800,1247169,1278342,1303065,1378607,1441784,1448135,1497850,1507106,1440217,1522276,1541273,1508895,1535860,1575270,1637146,1641392,1530614,1567276
ID,504020,507513,533204,544380,503420,498672,471950,503534,514313,526508,541391,537298,502202,522845,520475,513454,529112,523880,538562,538232,555116,554689,564752,548784,572997
IL,3944363,3856606,4024011,4029158,3905500,3920038,3945573,3993439,4140654,3991819,4081331,4083959,3864048,3985415,3981074,3856195,4019265,4098655,3934336,3936035,3901837,4031312,3965739,3630723,3723620
IN,2683207,2672890,2783212,2867279,2770456,2856081,2937199,2930253,2924177,2859709,2958525,2917143,2712475,2851846,2824186,2741045,2869893,2909494,2824763,2775468,2672798,2805187,2778669,2564299,2726823
KS,1101174,1088848,1108311,1116109,1063914,1099484,1140145,1121296,1067023,1095718,1157469,1119535,1087973,1109712,1097483,1068115,1096174,1133130,1101036,1092546,1075127,1135802,1129045,1069374,1073739
KY,1767765,1725018,1815367,1802618,1832560,1989605,1923756,1998031,2018197,2009346,2044160,2008086,1930240,2002909,1934775,1900476,1841287,1779131,1729283,1703242,1660930,1743860,1712246,1585083,1688543
LA,4328538,4047864,4026488,4330579,3823437,3958145,3809616,4011693,3854682,4026180,4286897,4228087,4035089,4124618,4137822,4008050,3919863,3940380,3911649,4031037,4208259,4247240,4283276,4200997,4282133
MA,1456922,1428046,1450435,1535713,1516967,1533528,1499086,1498061,1503540,1432783,1458172,1435829,1375161,1430955,1408756,1373574,1442081,1452576,1468500,1426530,1432353,1469343,1464978,1278224,1343692
MD,1386411,1384577,1425265,1459886,1451217,1539539,1590448,1570234,1596813,1482301,1505959,1466519,1454693,1485962,1432008,1390939,1413579,1425130,1423210,1385623,1346001,1390574,1354091,1211420,1269241
ME,443177,418462,430397,463343,426028,430762,430431,443142,447801,427755,450333,455348,412887,417926,417830,401322,414076,414903,424752,392405,385086,388145,384129,364886,371999
MI,3106640,3058629,3227372,3225008,3104288,3161372,3202233,3164951,3215169,3046605,3022749,2915379,2689993,2779932,2818940,2714929,2865217,2909249,2825750,2805339,2796976,2910564,2879272,2611239,2710244
