"Total energy expenditures per capita, dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,618.1,687.6,754.5,752.9,1095.5,1254,1430.1,1705.7,1898.3,1984.5,2491,3204.5,3300.3,2992.4,3233.8,3511.9,3042,2772.5,2756.6,3249.3,3757.5,3294.8,3247.5,3244.3,3140.7,3412.4,3606.2,3706.5,3173.9,3508.8,4525.1,4395,3931.1,4343.9,6291.9,7820.5,9060.2,9219.5,10981.6,7851.2,8851.9,10838.3,10368.2,9432.2,9328.3,7519,6142.7,6802.2,7919.9,7755.2,6429,8711
AL,407.5,435.5,484,561.7,760.9,839.4,946.9,1127.7,1176.5,1414,1703.2,1935.9,1916.4,1807.9,1894.4,1810,1652,1737.5,1766.6,1910.6,2022.9,2007.6,2008.7,2061.4,2077.2,2144.8,2258.5,2248.4,2175.9,2284.4,2704.1,2618.3,2605.2,2817.1,3332.6,3958.2,4356.3,4561.5,5173.6,3887.7,4519.8,5092.9,5007.2,4961.6,4971.3,4117.6,3951.3,4191.2,4487,4340.3,3693.5,4796.9
AR,414.7,435.8,470.4,549,713.6,801.8,938,1099.7,1115.1,1249.1,1662.7,1796.7,1820.8,1785.6,1764.2,1776.2,1610.1,1611.6,1707.8,1852.9,1985.2,1967.1,1960.2,2064.4,2054.2,2070.5,2222.8,2262.3,2078.5,2191.6,2683.7,2721,2577.5,2764.9,3088.3,3745.3,4057.9,4282.8,5005.2,3647.9,4212.5,4826.3,4648,4730.6,4687.6,3749.2,3440.1,3755.6,4132.5,3990.7,3439.9,4496.4
AZ,414.7,432.3,470.3,535.2,674.7,785.5,859.4,996.3,1063.2,1279,1522.8,1669.4,1661.8,1608.6,1667.6,1715,1547.1,1586.5,1595,1669.2,1771.5,1708,1770.7,1815.6,1783.2,1737.1,1851.3,1812.6,1720.1,1797.6,2058.8,2024.1,1938.6,2163.7,2450,2854.2,3129.6,3265,3565.8,2754.1,3171.4,3654.4,3646.9,3603.4,3507.1,3036.1,2819.6,3011.7,3306,3236.7,2833.8,3516.7
CA,349.9,378.2,397.5,447.7,602.7,693,758.2,860.3,919.2,1138.1,1508.6,1659.5,1644.7,1487.9,1565.1,1573,1316,1367.1,1402.4,1499,1619.1,1563.2,1602.9,1553.4,1594.6,1606.6,1644.5,1702,1573.8,1669.3,2009,2119.7,1996.8,2219.2,2528.5,2890.9,3213.1,3340.7,3673.9,2828.8,3115.7,3544.8,3546.5,3548.7,3524.8,3088.6,2842.3,3133,3482.7,3531.7,2899.4,3837.3
CO,389.1,417.8,435.6,492.6,626.7,709,778.3,854.6,919.7,1122.8,1431.6,1577.2,1659.3,1574.5,1606.1,1610.6,1380.6,1407,1422.7,1489.6,1595.4,1587.2,1566.5,1616.7,1620.3,1627.9,1706,1658.7,1573.2,1652.3,2001.7,2252.8,1956.7,2188.2,2581,3163.9,3455.1,3545.2,4000.3,2951.2,3381.6,3798.1,3740,3773.2,3817.4,3004.6,2723.3,2955.7,3285.8,3262.8,2674.3,3523.2
CT,386.3,412.5,452.3,515.1,729.5,769,838.7,912,958,1223.6,1509.1,1743.3,1751,1676.7,1755.3,1759.3,1561.5,1602.5,1714.1,1844.4,1897.4,1911.2,2002,1993.8,2009.1,2009.3,2164.7,2154,1956.9,2074.3,2342.6,2315.8,2191.2,2647.5,3031.9,3542.6,3898,4294.1,4575.8,3750.2,4003.4,4352.5,4226.9,4263.6,4335.8,3657.7,3282,3513.6,3974.6,3806.3,3207.1,3789.3
DC,366.9,403.8,412,468.6,648.8,708.1,753.6,848.5,923.2,1018.5,1278.6,1416.2,1645.5,1712.1,1795.8,1803.8,1715.9,1653.5,1671.9,1718.7,1786.5,1864.8,1948.1,2089.9,2147.2,2200.5,2361.7,2368,2259.7,2304.5,2629.4,2644.2,2592.3,2776.8,3020.5,3549.4,3787.3,4128.6,4296.4,3955.6,4109,3939,3473.1,3404.6,3504.7,3168,2884.9,2820.5,3048.3,2989.7,2628.1,3118.4
DE,477.5,517.9,573.9,657.3,920.6,997.2,1063.8,1203.4,1256.5,1668.3,2151.1,2093.9,1977.9,2010.1,2193.7,2201.4,1796.6,1843.3,1908.5,1994.3,2110.6,2066,1985.5,2092.7,2075.1,2073.8,2221.7,2203.4,2051.9,2187.5,2457,2461.5,2497.4,2689.7,2936.7,3475.4,3981.8,4182.8,4672.1,3996.4,4270.1,4714.6,4640.7,4301.7,4280.3,3700.3,3354.9,3603,4029.8,3879.9,3178.7,3869.4
FL,381.2,395.8,428.7,489.6,628.7,704.1,763.4,846.1,926,1152.5,1500.6,1734.3,1601.8,1527.3,1573.7,1635.1,1403.6,1427,1457.4,1509.4,1609.4,1529.2,1493.3,1518.8,1520.6,1574.9,1659.7,1642.8,1545.9,1587.4,1882.9,1924.9,1854.2,2050.2,2361.8,2802.3,3234.3,3293.8,3639.6,2920.9,3222.7,3603.8,3518,3474.7,3453,2854.8,2591.7,2802,3056.1,2916.4,2383.6,3058.6
GA,383.7,422.5,454,520.1,683.7,779.5,849.9,965.8,1040,1259.2,1599,1766.7,1774.3,1732.8,1837.4,1853,1599.9,1699.7,1745.9,1832.4,1992.8,1902.3,1867.7,1980.6,1926.8,1990,2131.2,2030.3,1913,1918.1,2388.7,2318.7,2259.4,2486.3,2911.9,3626.6,3742.5,3793,4263.5,3339.5,3922.5,4445.1,4206.5,4281.1,4228.5,3432.9,3137.6,3407.9,3581,3441.8,2892.7,3582.7
HI,353.8,386.1,392.3,447.5,591.7,735.2,786.5,892.6,984.4,1282,1778.2,2106.7,1956.4,1794.6,1815,1834.1,1390,1386.3,1475.1,1653.1,1902.1,1785.1,1712.7,1720,1787,1840.4,1915.5,1875.6,1721.9,1787.3,2229.1,2267,2168.5,2666.2,3160.1,3865.4,4374.3,4695,5125.6,3567.8,4545.3,5848.1,5941.5,5831,5489.8,4150.6,3650,4098.3,4798.5,4755.2,3235.7,4385.7
IA,445.1,470.2,513.7,592,722.7,820.6,935.1,1054.2,1116.8,1436.8,1668.8,1875.9,1965.1,1940.1,1906.1,1910.3,1717.3,1667.2,1744.7,1788.4,1884.7,1901.2,1912.8,2051.7,2081.7,2112.1,2287,2288.6,2131.3,2266.5,2794.6,2791.6,2637.3,2891.5,3388.8,4134.4,4541.1,4891.1,5715.5,4417.3,4827.3,5541.9,5206.7,5427.6,5615.5,4295.8,4048.5,4435,4972.9,4744.2,4021.6,5245.4
ID,485.1,507.7,537.2,596.3,755.5,883.5,944.9,1018.1,1072.6,1324.8,1546.2,1678.5,1664.9,1609.1,1638.8,1699.6,1444.6,1543.9,1597.6,1735.1,1827,1817.6,1797,1854.8,1875.6,1887.3,2072.1,2018.3,1891.7,2023,2414.3,2411.5,2395.9,2337.5,2687.4,3172.7,3456.4,3612.4,3974.4,3167,3678.3,4235.3,4258.4,4385,4377.8,3711.2,3395.1,3684.3,3965.3,3772.1,3217.3,4056.6
IL,443.2,462.1,502,568.8,737.1,821.3,923.4,1035.6,1152.4,1367.6,1614.1,1756.8,1774,1856.3,1813.2,1839,1674.1,1723.5,1754.6,1783.2,1882,1862.8,1817.3,1916.9,1877.7,1913.8,2053.1,2037.7,1844.6,1931.8,2322.9,2332.2,2143.8,2403.4,2668.3,3286.6,3371.7,3731.2,4298.2,3177.5,3520,3948.9,3701,3778.8,4012.2,3163,2934.2,3186.2,3537.6,3353.4,2667.5,3556
