State.Abb,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,9956,10527,11591,10363,10598,9959,10163,10296,10098,11267,10813,11628,11023,10624,10909,11702,10397,9582,9810,9286,10451,9632,8998,10781,10976
AL,2849,2409,2452,2797,2649,2768,2798,2633,2686,2528,2517,2803,2793,3311,2660,2202,2818,3128,2421,2349,2123,2686,2390,2279,2389
AR,3637,3050,2972,3532,3293,3513,3463,3171,3150,3025,3195,3618,3519,3696,3335,2725,3713,3942,3297,2960,2733,3592,3421,3160,3226
AZ,2040,2290,1851,1973,2114,2001,1886,2041,1892,1939,1958,2001,1896,2038,2184,1781,2097,1607,1808,1654,1501,1762,2120,1865,1754
CA,2664,3407,3053,2832,2965,2946,2833,2842,2815,3014,2876,2861,2879,3086,3182,2741,2707,2091,2342,2438,2442,2539,2946,2564,2683
CO,7457,6972,6770,6878,6880,7234,6844,6966,6836,6927,7158,7456,7356,7061,7399,6402,7483,7154,6668,6675,6480,6871,7500,6817,6724
CT,6145,5238,5617,6112,5673,5698,6461,6154,6180,5421,5950,5910,6106,5525,5607,5032,5933,6208,5944,5367,5441,5744,5940,5350,5412
DE,4719,3965,4385,4741,4356,4257,4950,4599,4754,4011,4486,4415,4616,4588,4261,3860,4588,4919,4489,4244,4045,4486,4360,4010,4174
FL,578,558,629,719,635,685,772,708,704,604,558,634,705,1276,613,546,545,719,483,559,451,591,498,491,503
GA,2899,2504,2639,3037,2679,2818,2910,2765,2848,2635,2608,2951,2981,3449,2750,2321,2923,3166,2550,2521,2245,2773,2437,2379,2482
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,13
IA,7174,5985,6370,6719,6531,6602,6922,6547,6533,6095,6745,7590,7171,6961,6826,5730,7408,7745,6445,6092,6230,7263,7351,6586,6353
ID,6969,6762,6908,6934,6880,7191,6454,6768,7038,6829,6737,7371,7304,6967,7434,6525,7216,6521,6133,6461,7012,6676,7163,6695,6509
IL,6521,5162,5814,6120,5732,5991,6275,5908,5919,5527,5929,6639,6386,6098,6033,5139,6601,7150,5993,5534,5532,6417,6419,5762,5678
IN,6086,4782,5412,5810,5261,5530,5912,5526,5618,5146,5458,6037,5822,5777,5494,4832,5961,6564,5605,5133,4988,5803,5725,5278,5274
KS,5154,4576,4429,4928,4633,4930,4918,4641,4661,4230,4856,5280,5102,5008,5025,3945,5354,5304,4488,4196,4233,5206,5242,4627,4501
KY,4794,3857,4143,4574,4219,4368,4594,4237,4381,4129,4143,4686,4550,4824,4256,3786,4698,5014,4298,4072,3800,4464,4188,4076,4163
LA,1832,1518,1468,1736,1663,1802,1861,1655,1584,1495,1564,1678,1685,2217,1693,1286,1819,2098,1527,1373,1172,1693,1595,1348,1520
MA,6497,5560,5841,6366,5965,5965,6737,6451,6419,5661,6270,6188,6385,5726,5866,5300,6176,6402,6273,5717,5801,6068,6250,5539,5520
MD,4787,3969,4469,4764,4424,4391,4979,4638,4766,4108,4536,4545,4734,4630,4351,3953,4716,5087,4615,4370,4111,4654,4417,4028,4166
ME,8344,7179,7159,7966,7563,7767,8264,8191,7860,7045,8051,7798,8075,6899,7471,7088,7759,7972,8037,7285,7515,7854,8115,7200,6976
MI,7251,5771,6509,6782,6278,6665,7140,6780,6798,6167,6561,7081,7036,6404,6735,5781,7017,7676,6720,6162,6232,6860,6973,6282,6084
MN,8880,7415,7874,8451,8104,8479,8602,8450,8130,7654,8300,9276,8926,8196,8475,7391,9376,9630,7892,7597,8149,9015,9330,8312,7828
MO,5357,4476,4560,5066,4765,5010,5120,4804,4774,4443,4836,5455,5178,5236,4992,4072,5452,5695,4722,4392,4284,5312,5172,4757,4638
MS,2589,2137,2144,2523,2387,2498,2571,2337,2344,2236,2223,2521,2476,2971,2410,1956,2603,2879,2166,2088,1815,2468,2276,1983,2161
MT,8751,8254,8086,8634,8252,8970,8311,8294,8434,8083,8182,8941,8933,8697,8853,7990,8554,8604,7692,7870,8434,8732,9279,8282,8189
NC,3585,3038,3215,3663,3211,3326,3524,3400,3464,3139,3120,3416,3531,3887,3241,2959,3537,3717,3154,3158,2901,3406,3064,2906,3108
ND,9399,8461,8454,9139,8763,9255,9328,9196,8703,8291,9014,9805,9971,9146,9298,8187,10073,9836,8370,8018,8842,9670,10218,8876,8384
NE,6556,5882,5734,6223,6008,6264,6248,6003,5928,5659,6257,6900,6692,6473,6505,5363,6720,6697,5785,5563,5813,6818,6870,6052,5830
NH,7961,6754,7064,7694,7276,7288,8048,7720,7600,6868,7676,7538,7764,6837,7192,6590,7473,7798,7603,6924,7105,7433,7731,6910,6792
NJ,5470,4539,5056,5407,5030,4969,5693,5280,5397,4620,5146,5155,5295,5013,4881,4445,5253,5624,5180,4836,4771,5187,5083,4609,4752
NM,4905,4617,4347,4357,4510,4590,4219,4634,4361,4387,4549,4648,4491,4618,4675,4132,4814,4313,4352,4154,3801,4286,4596,4189,4210
NV,3449,3928,3377,3400,3485,3558,3367,3510,3488,3594,3422,3615,3616,3682,3850,3220,3659,2934,3098,3210,3131,3315,3795,3298,3308
NY,6390,5349,5829,6311,5788,5815,6574,6244,6242,5486,6086,6044,6238,5741,5765,5176,6104,6404,6084,5562,5628,6062,6151,5499,5537
OH,6077,4858,5537,5865,5344,5560,6051,5695,5853,5238,5556,6003,5914,5869,5566,4990,5907,6457,5681,5243,5075,5769,5577,5254,5215
OK,3826,3377,3077,3699,3490,3744,3607,3340,3353,3017,3535,3671,3675,3772,3590,2865,3995,3944,3409,3036,2918,3823,3736,3262,3342
