State.Abb,Geography,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Coastal,613,620,625,628,634,642,648,659,667,675,680,687,699,714,722,731,738,737,738,743,741,737,734,732,734
AL,Coastal,4368,4405,4430,4452,4468,4480,4503,4531,4570,4629,4673,4718,4758,4786,4800,4817,4832,4844,4855,4867,4878,4892,4908,5025,5050
AR,NonCoastal,2601,2626,2652,2679,2692,2706,2725,2750,2781,2822,2849,2875,2897,2922,2941,2953,2960,2969,2980,2992,3004,3012,3021,3012,3028
AZ,NonCoastal,4737,4883,5024,5161,5273,5396,5510,5652,5839,6029,6168,6280,6343,6407,6473,6556,6635,6733,6833,6945,7048,7164,7292,7178,7265
CA,Coastal,32486,32988,33499,33988,34479,34872,35253,35575,35828,36021,36250,36604,36961,37320,37636,37945,38254,38587,38904,39149,39338,39437,39438,39500,39143
CO,NonCoastal,4018,4117,4226,4327,4426,4490,4529,4575,4632,4720,4804,4890,4972,5048,5122,5194,5271,5353,5454,5544,5617,5697,5758,5784,5811
CT,Coastal,3349,3365,3386,3412,3433,3459,3484,3496,3507,3517,3527,3546,3562,3579,3589,3595,3596,3596,3589,3580,3575,3575,3566,3600,3623
DE,Coastal,751,763,775,786,796,806,818,831,845,859,872,884,892,900,908,916,924,933,942,950,958,967,977,992,1005
FL,Coastal,15186,15487,15759,16048,16357,16689,17004,17415,17842,18167,18368,18527,18653,18846,19056,19302,19552,19854,20219,20627,20977,21255,21492,21570,21828
GA,Coastal,7685,7864,8046,8227,8377,8508,8623,8769,8926,9156,9350,9505,9621,9712,9804,9904,9976,10071,10183,10308,10417,10519,10628,10726,10788
HI,Coastal,1212,1215,1210,1214,1226,1240,1251,1274,1293,1310,1316,1332,1347,1364,1380,1395,1409,1415,1423,1429,1426,1423,1416,1452,1447
IA,NonCoastal,2891,2903,2918,2929,2932,2934,2942,2954,2964,2983,2999,3017,3033,3051,3067,3077,3094,3111,3123,3133,3144,3150,3160,3189,3198
ID,NonCoastal,1229,1252,1276,1299,1320,1340,1363,1392,1428,1469,1505,1534,1554,1571,1584,1596,1612,1632,1652,1684,1720,1752,1789,1848,1904
IL,Coastal,12186,12272,12359,12434,12488,12526,12556,12590,12610,12644,12696,12747,12797,12841,12868,12883,12896,12885,12860,12822,12780,12725,12667,12785,12686
IN,Coastal,5955,5999,6045,6092,6128,6156,6197,6233,6279,6333,6380,6425,6459,6491,6517,6539,6571,6596,6611,6638,6662,6698,6731,6786,6814
KS,NonCoastal,2635,2661,2678,2694,2702,2714,2723,2734,2745,2763,2784,2808,2833,2858,2870,2886,2894,2902,2911,2913,2911,2913,2913,2936,2938
KY,NonCoastal,3953,3985,4018,4049,4068,4090,4117,4146,4183,4219,4257,4290,4317,4348,4371,4388,4407,4417,4429,4440,4456,4464,4472,4504,4507
LA,Coastal,4421,4440,4461,4472,4478,4497,4521,4552,4577,4303,4376,4436,4492,4545,4576,4602,4626,4646,4667,4681,4674,4664,4658,4651,4627
MA,Coastal,6226,6272,6317,6361,6398,6417,6423,6412,6403,6410,6432,6469,6518,6566,6614,6664,6715,6765,6797,6827,6864,6886,6895,7022,6990
MD,Coastal,5157,5204,5255,5311,5375,5440,5496,5547,5592,5627,5653,5685,5730,5789,5840,5888,5925,5960,5989,6007,6028,6042,6055,6173,6175
ME,Coastal,1255,1259,1267,1277,1286,1296,1307,1314,1319,1324,1327,1331,1330,1328,1328,1328,1329,1331,1329,1332,1336,1340,1346,1362,1377
MI,Coastal,9809,9848,9897,9952,9991,10016,10041,10055,10051,10036,10001,9947,9902,9878,9883,9898,9915,9932,9934,9954,9977,9987,9985,10068,10038
MN,Coastal,4763,4813,4873,4934,4983,5019,5054,5088,5120,5164,5207,5247,5281,5311,5347,5378,5415,5453,5484,5525,5569,5609,5640,5707,5711
MO,NonCoastal,5481,5522,5562,5607,5641,5675,5709,5748,5790,5843,5888,5924,5961,5996,6011,6026,6043,6059,6075,6091,6111,6126,6140,6154,6170
MS,Coastal,2777,2805,2828,2848,2853,2859,2868,2889,2906,2905,2928,2948,2959,2971,2979,2985,2990,2992,2990,2991,2991,2983,2978,2957,2950
