State.Abb,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,42211,41096,40591,39407,40959,42979,42355,44055,45657,49190,51721,51252,56215,54602,55280,58284,55354,54188,54741,54247,54130,53250,53337,50161,50869
AL,144501,149568,154900,157221,156853,160422,165135,176625,184370,187271,189003,186947,180707,184702,187606,189246,191370,189886,191335,194284,197567,200801,203384,196906,209979
AR,82571,84571,89115,89872,89789,92951,96945,101734,105980,108461,107606,106537,102997,105662,107933,108492,110752,111735,112351,112798,113885,115938,116791,114944,123347
AZ,168409,183061,198700,208440,213166,220697,234066,244317,262326,274179,283251,280810,257499,260307,266102,271440,273482,276949,282577,291275,302455,313619,323894,320551,347656
CA,1378277,1468731,1574306,1696172,1692324,1722522,1789999,1850905,1926842,2002437,2041192,2061639,1995440,2036015,2063828,2113096,2179229,2256055,2357453,2427895,2541769,2643576,2739343,2663666,2874731
CO,184185,200680,215295,231590,234979,235417,237782,240748,251558,257430,266888,270981,264966,267859,271701,276823,286259,298655,312410,318953,329961,342536,356774,346011,373763
CT,190519,196391,202352,216158,218135,216678,219186,233427,238550,248234,257953,257756,244895,244355,238542,240912,236051,235781,242707,243287,247359,249998,251495,235889,246556
DE,45980,50434,54237,56550,58373,56535,57300,60070,59335,60624,60478,58656,61518,60577,62919,62355,60236,64940,66794,63001,60801,61735,64262,62056,64405
FL,559805,587971,615238,642708,660660,689974,722375,769141,815756,839964,850049,816070,769061,775040,772021,778545,794842,817234,852242,881539,912966,943463,971619,944001,1029576
GA,328119,352472,377127,389727,394317,399413,411686,428555,447153,453032,455904,445765,428741,433727,441627,447765,454909,470010,489182,506816,524875,539300,558277,536693,575292
HI,55804,54405,54852,55891,55679,56991,59979,63318,67124,68759,70080,70461,67928,69628,70647,71905,73063,73512,75870,77304,78942,79855,79175,70625,74547
IA,113290,114087,116523,121924,120450,123298,128962,139978,144577,146555,152862,149881,146183,150148,152435,158538,158481,166619,171127,170389,170183,172929,172906,169420,179753
ID,36997,38795,42510,47295,46085,47057,48594,51815,56043,57614,58671,60310,57328,58282,58226,58324,60631,62454,63081,65479,66981,71075,73912,73655,80094
IL,576730,595616,618148,640723,642293,647518,658317,676806,687707,704828,712620,706617,688161,698180,711283,726399,726125,741194,751755,749334,755595,774065,777654,737644,780061
IN,231714,245676,254089,264122,259475,265345,277152,287656,290328,296113,304086,300963,279521,297517,299065,300514,307279,316783,313751,319602,325842,337150,338350,329863,346241
KS,104575,108184,111006,114031,114328,116195,118193,119392,123950,130365,137094,139537,134227,135723,139579,141818,141723,145344,148811,153695,155408,158906,160182,156770,162291
KY,146523,150774,155612,151495,151834,155644,159991,164650,171180,175658,174407,173810,166704,173780,175745,178144,181506,181472,182916,184115,185867,188084,191356,185535,197818
LA,200863,207612,211953,205723,208618,213079,221774,232713,247773,245500,230368,232151,236411,246836,234976,235385,228453,235355,233016,228429,233774,236266,235948,222297,221153
MA,302724,315040,331602,358122,362664,362582,369007,379086,386804,395536,406421,414920,407220,425793,434495,442917,444874,451569,468061,475349,484414,502954,517727,498577,533102
MD,221212,231806,240946,250772,261533,270468,278332,290285,301661,305794,306756,314758,311342,325370,332437,332524,334269,339605,348152,360082,366681,368644,369624,353053,368571
ME,42942,44140,46351,48490,49471,50910,52210,54256,54927,55448,55360,54654,53630,54305,53789,53680,53239,54038,54426,55565,56663,58179,59434,58757,63595
MI,396975,406052,429936,438464,425103,436802,443652,448888,457138,449854,446943,420974,383140,404217,414834,422691,428738,434313,443831,452325,457765,467830,467300,445683,481778
MN,212378,223655,232068,247803,247599,253478,264166,275560,284637,284382,286299,288421,277494,287140,293783,298328,305486,314091,318913,324030,328696,338525,340130,326636,346204
MO,227797,231693,238452,244706,243060,247437,252677,259741,265735,267221,267691,273436,266835,270733,268534,271535,274599,276081,279021,279109,282174,285995,290842,282654,295687
MS,83153,85194,87638,88078,87310,88569,92355,94483,96821,99006,100212,101778,98001,98601,98516,100448,100331,100284,100482,101255,101642,101132,101525,99668,104354
MT,29047,30342,30461,31241,31533,32504,33811,35529,37374,38578,40438,40471,39513,40794,41876,42341,42968,43829,45396,44437,45911,46614,46788,46158,48976
NC,315648,326786,345458,356913,359617,364870,373988,389210,409004,434209,438960,450538,431955,437837,443289,445095,452056,462253,475097,482969,496727,504050,514625,499518,541934
