State.Abb,State,Year,Geography,pop_mi,r_gdp,pc_rgdp,m_gdp,coal,petro,gas,resid,comm,indust,electric,transport,pc_CO2,PVG,Party,Party_3,cdays,hdays,m_cdd,m_hdd,senate,house,lcv,m_lcv,expend,m_expend,pc_coal,pc_petro,pc_gas,pc_comm,pc_res,pc_ind,pc_elec,pc_trans,in_class,HDD,CDD,HL_Expend,HL_LCV
AL,Alabama,2021,Coastal,5.05,209979,41580,54651.36,29.6,40.2,38.6,2.1,2.3,19.6,47.2,37.2,21.5,-25.4,Rep,Rep,1893,2389,1255.84,4869.6,7,19,26,112.52,4796.9,4351.23529411765,5.86138613861386,7.96039603960396,7.64356435643564,0.455445544554455,0.415841584158416,3.88118811881188,9.34653465346535,7.36633663366337,Poor,Low_hdays,High_cdays,High_Exp,Low_LCV
AK,Alaska,2021,Coastal,0.734,50869,69303,54651.36,1.8,17.5,19.6,1.7,2.3,18.4,2.8,13.7,53,-10,Rep,Rep,30,10976,1255.84,4869.6,35,35,70,112.52,8711,4351.23529411765,2.45231607629428,23.841961852861,26.7029972752044,3.13351498637602,2.31607629427793,25.0681198910082,3.81471389645777,18.6648501362398,Rich,High_hdays,Low_cdays,High_Exp,Low_LCV
AZ,Arizona,2021,NonCoastal,7.265,347656,47853,54651.36,15.4,42.1,25.6,2.5,3.1,4.6,34.3,38.5,11.4,0.3,Dem,Ntl,3121,1754,1255.84,4869.6,97,58,155,112.52,3516.7,4351.23529411765,2.11975223675155,5.79490708878183,3.5237439779766,0.426703372333104,0.344115622849277,0.63317274604267,4.72126634549209,5.29938059187887,Poor,Low_hdays,High_cdays,Low_ExP,High_LCV
AR,Arkansas,2021,NonCoastal,3.028,123347,40735,54651.36,20.7,22.5,18.8,2.1,3.6,8.3,28.5,19.5,20.5,-27.6,Rep,Rep,1800,3226,1255.84,4869.6,15,16,31,112.52,4496.4,4351.23529411765,6.83619550858653,7.43064729194188,6.20871862615588,1.1889035667107,0.693527080581242,2.74108322324967,9.41215323645971,6.43989431968296,Poor,Low_hdays,High_cdays,High_Exp,Low_LCV
CA,California,2021,Coastal,39.143,2874731,73441,54651.36,2.7,208.1,113.3,26.2,19.4,63.9,35.3,179.1,8.3,29.2,Dem,Dem,1144,2683,1255.84,4869.6,100,81,181,112.52,3837.3,4351.23529411765,0.0689778504458013,5.31640395473009,2.89451498352196,0.495618629129091,0.669340622844442,1.63247579388396,0.901821526198809,4.57553074623815,Rich,Low_hdays,Low_cdays,Low_ExP,High_LCV
CO,Colorado,2021,NonCoastal,5.811,373763,64319,54651.36,24.2,33.5,27.7,8.3,4.4,13.2,30.6,28.9,14.7,13.5,Dem,Dem,427,6724,1255.84,4869.6,97,60,157,112.52,3523.2,4351.23529411765,4.16451557391155,5.76492858372053,4.76682154534504,0.7571846498021,1.42832558939942,2.2715539494063,5.26587506453278,4.97332644983652,Rich,High_hdays,Low_cdays,Low_ExP,High_LCV
CT,Connecticut,2021,Coastal,3.623,246556,68052,54651.36,0.3,20.1,16.2,7.2,4.3,1.6,9.2,14.3,10.1,20.1,Dem,Dem,705,5412,1255.84,4869.6,100,100,200,112.52,3789.3,4351.23529411765,0.0828043058239028,5.54788849020149,4.47143251449075,1.18686171680927,1.98730333977367,0.441622964394148,2.53933204526635,3.9470052442727,Rich,High_hdays,Low_cdays,Low_ExP,High_LCV
DE,Delaware,2021,Coastal,1.005,64405,64084,54651.36,0.4,8,4.6,1,1.1,3.8,1.8,5.4,12.9,18.9,Dem,Dem,1253,4174,1255.84,4869.6,100,100,200,112.52,3869.4,4351.23529411765,0.398009950248756,7.96019900497513,4.5771144278607,1.09452736318408,0.995024875621891,3.78109452736318,1.7910447761194,5.37313432835821,Rich,Low_hdays,Low_cdays,Low_ExP,High_LCV
FL,Florida,2021,Coastal,21.828,1029576,47167,54651.36,19.2,123.3,83.9,1.5,6.8,12.3,91.2,114.6,10.4,-3.3,Rep,Ntl,3761,503,1255.84,4869.6,12,47,59,112.52,3058.6,4351.23529411765,0.879604178119846,5.64870808136339,3.84368700751329,0.311526479750779,0.068719076415613,0.563496426608026,4.17811984606927,5.25013743815283,Poor,Low_hdays,High_cdays,Low_ExP,Low_LCV
GA,Georgia,2021,Coastal,10.788,575292,53327,54651.36,19.5,64,40.6,7.4,4.6,12.7,40.9,58.6,11.5,0.3,Dem,Ntl,1673,2482,1255.84,4869.6,100,45,145,112.52,3582.7,4351.23529411765,1.80756395995551,5.93251761216166,3.76344086021505,0.426399703374119,0.685947348906192,1.17723396366333,3.79124953652206,5.43196143863552,Poor,Low_hdays,High_cdays,Low_ExP,High_LCV
