State.Abb	State	Year	Geography	pop_mi	r_gdp	pc_rgdp	m_gdp	coal	petro	gas	resid	comm	indust	electric	transport	pc_CO2	PVG	Party	cdays	hdays	m_cdd	m_hdd	senate	house	lcv	m_lcv	price	m_price	expend	m_expend	LandArea	pdensity	mp_density	coal_con	petro_con	gas_con	energy_con	pc_energy	pc_coal	pc_petro	pc_gas	pc_comm	pc_res	pc_ind	pc_elec	pc_trans	pc_coal_con	pc_petro_con	pc_gas_con	in_class	HDD	CDD	HL_Price	HL_Expend	HL_LCV	HL_density
AL	Alabama	1997	Coastal	4.368	144501	33081	41476.18	82.1	34.6	17.4	3.4	2.4	28.3	69	31.1	30.7	-7.467742307	Rep	1640	2849	990.12	5472.02	0	14	14	88.7	7.52	9.0624	2248.4	2183.80196078431	50645	86.247408431237	178.166945607596	867264	524929	337431	1729624	395	18.7957875457875	7.92124542124542	3.98351648351648	0.549450549450549	0.778388278388278	6.47893772893773	15.7967032967033	7.11996336996337	198.549450549451	120.176053113553	77.2506868131868	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	1998	Coastal	4.405	149568	33954	42624.14	81.2	34.7	17.6	3.1	1.9	25.8	71.1	31.7	30.3	-7.467742307	Rep	2244	2409	1221.34	4833.28	0	15	15	87.46	7.33	8.459	2175.9	2011.34705882353	50645	86.9779840063185	179.746327352354	856479	518605	341973	1717057	389	18.433598183882	7.87741203178207	3.99545970488082	0.431328036322361	0.703745743473326	5.85698070374574	16.1407491486947	7.19636776390465	194.433371169126	117.730987514188	77.6329171396141	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	1999	Coastal	4.43	154900	34966	43908.46	82.3	35.6	18	3.3	2.2	25.9	72.4	32	30.66	-7.467742307	Rep	1961	2452	1121.18	5000.2	0	14	14	84.12	7.58	8.7824	2284.4	2123.92941176471	50645	87.4716161516438	181.395990598757	866512	536391	349076	1751979	395	18.5778781038375	8.03611738148984	4.06320541760722	0.496613995485327	0.744920993227991	5.84650112866817	16.3431151241535	7.2234762979684	195.600902934537	121.081489841986	78.7981941309255	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2000	Coastal	4.452	157221	35314	45035.54	85.9	37.4	19	3.7	2.3	25.3	77.4	33.7	31.96	-7.467742307	Rep	2056	2797	1096.48	5322.76	0	17	17	86.06	8.78	10.5014	2704.1	2574.42156862745	50645	87.9060124395301	183.093000477138	904181	559735	368472	1832388	411	19.2946990116801	8.40071877807727	4.26774483378257	0.516621743036837	0.831087151841869	5.68283917340521	17.3854447439353	7.5696316262354	203.095462713387	125.726639712489	82.7654986522911	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2001	Coastal	4.468	156853	35105	45094.12	80.1	35.5	17.8	3.5	2.2	21.6	74.5	31.5	29.84	-15.17105678	Rep	1717	2649	1116.62	5075.8	0	15	15	90.08	9.45	10.9236	2618.3	2580.99607843137	50645	88.2219370125383	184.57483362918	842337	534772	344004	1721113	385	17.9274843330349	7.94538943598926	3.98388540734109	0.492390331244405	0.783348254252462	4.83437779767234	16.674127126231	7.05013428827216	188.526633840645	119.689346463742	76.9928379588183	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2002	Coastal	4.48	160422	35808	45644.56	80.5	37.5	20.3	3.3	2	21.4	78.2	33.4	30.9	-15.17105678	Rep	2055	2768	1208.78	5216.14	4	16	20	86.52	9.16	10.3344	2605.2	2444.79803921569	50645	88.4588804422944	186.046846831836	845999	562366	389965	1798330	401	17.96875	8.37053571428571	4.53125	0.446428571428571	0.736607142857143	4.77678571428571	17.4553571428571	7.45535714285714	188.8390625	125.528125	87.0457589285714	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2003	Coastal	4.503	165135	36672	46520.34	83.2	37.8	18.7	3.1	2.1	22.8	79.1	32.7	31	-15.17105678	Rep	1769	2798	1110	5364.18	5	18	23	83.46	9.98	11.523	2817.1	2731.26078431373	50645	88.9130220159937	187.341174859819	873735	561731	360483	1795949	398	18.4765711747724	8.3944037308461	4.15278703086831	0.466355762824783	0.68842993559849	5.06329113924051	17.5660670664002	7.2618254497002	194.033977348434	124.745947146347	80.053964023984	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2004	Coastal	4.531	176625	38981	47938.68	81.3	40.2	20.4	3	2.2	23.2	78.5	35.1	31.3	-15.17105678	Rep	1845	2633	1040.6	5199.5	0	19	19	89.66	11.27	13.0056	3332.6	3150.56470588235	50645	89.465890018758	188.603482018774	853917	609981	391927	1855825	409	17.9430589273891	8.87221363937321	4.50231736923416	0.485544030015449	0.662105495475612	5.12028249834474	17.3250937982785	7.74663429706467	188.461046126683	134.62392407857	86.4990068417568	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2005	Coastal	4.57	184370	40343	49166.98	84.9	39.7	18.9	2.7	1.9	21.8	82.3	34.8	31.4	-25.7955427	Rep	1908	2686	1209.9	5189.64	5	14	19	88.58	13.56	15.5804	3958.2	3777.48235294118	50645	90.2359561654655	189.600863237592	890098	606840	363398	1860336	407	18.5776805251641	8.68708971553611	4.13566739606127	0.415754923413567	0.590809628008753	4.77024070021882	18.0087527352298	7.61487964989059	194.769803063457	132.787746170678	79.5181619256017	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2006	Coastal	4.629	187271	40456	50147.58	84.5	40.3	21	2.5	2.2	21.2	84.4	35.4	31.5	-25.7955427	Rep	2041	2528	1169.02	4884.82	0	20	20	91.3	14.96	17.5066	4356.3	4183.70392156863	50645	91.4009280284332	190.617610992085	886678	611265	402044	1899987	410	18.2544826096349	8.70598401382588	4.53661697990927	0.475264635990495	0.540073449989199	4.5798228559084	18.2328796716353	7.64744005184705	191.548498595809	132.051198963059	86.8533160509829	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
