Year,wtotal,wwithin,wbetween,woverlap,total,within,between,overlap
1997,0.243883814223167,0.0933639092948179,0.111633473602843,0.038886431325506,0.318865049751244,0.103981654228856,0.147809390547264,0.0670740049751242
1998,0.241466587135751,0.0911287847263832,0.113332557331179,0.0370052450781884,0.325265592475523,0.104958754143859,0.154544753681289,0.0657620846503744
1999,0.239428495475973,0.0910624651964252,0.110864608827875,0.0375014214516733,0.323199459592237,0.104491832473594,0.15334377302874,0.0653638540899037
2000,0.240385362327661,0.0903564139344588,0.114001285922303,0.0360276624708997,0.323708762012437,0.104689956661014,0.15584428113812,0.0631745242133037
2001,0.237548586557121,0.0551248268915102,0.167104858375269,0.0153189012903426,0.323932168930783,0.115779502818593,0.189702122416289,0.0184505436959005
2002,0.243672632212967,0.0571855089096223,0.17002261433789,0.0164645089654543,0.328266419122766,0.117810783631159,0.191790825404193,0.0186648100874139
2003,0.241805971580924,0.0570689624725535,0.16748781440899,0.0172491946993805,0.325180870631515,0.117096873083998,0.18840282035561,0.0196811771919074
2004,0.235952851145083,0.0558240898710542,0.164036746202451,0.0160920150715778,0.32066778472328,0.115075468821467,0.187074249123342,0.0185180667784716
2005,0.233168214938736,0.0666969110305773,0.143701638736432,0.0227696651717268,0.322391221519469,0.127806141888288,0.174863979273032,0.0197211003581493
2006,0.242726232963463,0.070001508246082,0.150414145488736,0.0223105792286447,0.333466843294632,0.130323385022988,0.184232837216551,0.018910621055093
2007,0.238009768258294,0.0701634476100035,0.143488468693661,0.0243578519546295,0.331247291860105,0.130306406685237,0.181185391519653,0.0197554936552151
2008,0.242823375362669,0.0725465675846718,0.142053791310484,0.0282230164675123,0.33681774349084,0.131533269045323,0.184750883960141,0.0205335904853759
2009,0.240343458382011,0.0681307209619413,0.140445149547062,0.0317675878730077,0.3339173553719,0.107791213571118,0.194119182253153,0.0320069595476289
2010,0.245063070086875,0.0682969014494756,0.14849129276574,0.0282748758716598,0.335648179652942,0.107206532834297,0.198724055801293,0.0297175910173519
2011,0.256109331290265,0.0715010283879569,0.15400616239479,0.0306021405075181,0.34276102492592,0.110343385044448,0.202489105804427,0.0299285340770448
2012,0.253513840082093,0.0706549157280408,0.152161319122316,0.0306976052317362,0.349505165851006,0.113268080478521,0.207094435381548,0.0291426499909378
2013,0.2540748075855,0.0722398150140364,0.152847732051399,0.0289872605200647,0.34506374573532,0.126168073262704,0.198827437601006,0.0200682348716105
2014,0.252082887656073,0.0714507338094378,0.152576745963039,0.0280554078835958,0.341855873642645,0.124422507403751,0.198350533967513,0.0190828322713804
2015,0.242234900238493,0.0682974079194019,0.148381276990857,0.0255562153282344,0.335166837066641,0.122985407565759,0.19398642996561,0.018194999535272
2016,0.238652371887152,0.0663122944930467,0.149714405582695,0.0226256718114105,0.332709190016258,0.121526250358612,0.194528067323324,0.0166548723343226
2017,0.240257384035143,0.0537097308789144,0.174786432394219,0.0117612207620091,0.339257120862202,0.117367205542725,0.208314087759815,0.0135758275596617
2018,0.242015372391908,0.0546363029881967,0.175215755236253,0.0121633141674584,0.339351209450591,0.116546034127133,0.210710669416839,0.0120945059066194
2019,0.237903693316515,0.0551723711194589,0.169110780188628,0.013620542008428,0.333912706110572,0.115480116391852,0.204263821532493,0.0141687681862272
2020,0.254718074759662,0.0564153541005507,0.186108580728276,0.0121941399308352,0.351638551627806,0.120049425163855,0.219000752122059,0.0125883743418922
2021,0.250350837248416,0.0501376432491816,0.189406773789746,0.0108064202094876,0.346606325638158,0.111455303569613,0.225705278145022,0.00944574392352329
