Year,nat_ave,Dem,Rep,Poor,Rich
1997,42530.4460996192,43277.6459965701,40648.3079489899,37510.5607722685,45905.9181542131
1998,43853.1420180247,44538.5861793783,42136.4775950302,38718.9645607175,47626.8192377747
1999,45381.254325421,46188.4311215118,43370.4718360183,39943.7972646011,49440.7093415622
2000,46710.3949991655,47667.2877988249,44337.8962832996,41089.3791579723,51555.0512559425
2001,46619.9822150023,50043.5659280913,43223.9506139116,40842.242805908,51461.0260368872
2002,47010.0880020902,50327.4065276697,43735.5744754494,41538.8226138302,51586.5282808831
2003,47813.6122249507,51232.4206894629,44455.4489028857,42449.9037873674,52297.3590351667
2004,49158.8147030342,52613.2991020352,45793.222180187,43694.2444693174,53730.5731092648
2005,50393.9783519695,54119.3736668414,46972.3042864576,44764.3703026519,55116.0515517263
2006,51339.3375272402,55169.620024823,47857.8115942029,45503.4594255975,56896.5224091931
2007,51716.985122631,55798.4450903168,48042.3942040894,45536.5395140478,57379.829884193
2008,51212.63561902,55611.9233743213,47278.0493702331,44962.0162403163,57216.7962831378
2009,49376.2241103389,51303.8873391677,45107.3557060367,42699.365761007,55815.0852505293
2010,50152.0327312892,52258.7772368595,45506.9158829025,42796.2536663132,56146.8333147167
2011,50488.3477229022,52518.2252186077,46025.96601767,43198.9446639183,56416.8774512948
2012,51169.1582823613,53144.1012602307,46844.5713209238,43285.5393264154,57323.2290372274
2013,51610.9823692037,54157.1533943963,47204.5862125685,43789.558518643,58087.2001912545
2014,52431.9186337828,55071.826364545,47879.12877638,44445.1618541298,59043.3262056389
2015,53497.0892488908,56281.5583915444,48714.8682872159,45094.8869465075,60457.4932390359
2016,54005.1294054879,57032.8706216022,48826.3020262317,45367.5462737576,60923.3699296676
2017,54915.3055368047,62474.4728439293,49168.7749806037,46060.5653579264,62107.3892203193
2018,56189.7022696192,64303.0746568177,50047.2030213727,46826.1239100003,63820.9386439904
2019,57230.3838668718,65846.492649201,50742.2659946172,47444.180223253,65239.7664679632
2020,54737.6683554405,62498.3593129391,48846.6346040338,45524.0209092034,61974.8954813847
2021,58190.9806374901,63233.5754553866,51486.1095776767,48914.0392726679,66782.1271855383
