Year...1,Party,n()...3,Year...4,HDD,n()...6,Year...7,CDD,n()...9,Year...10,HL_LCV,n()...12,Year...13,HL_Expend,n()...15,Year...16,in_class,n()...18,Year...19,Geography,n()...21
1997,Dem,31,1997,High_hdays,25,1997,High_cdays,16,1997,High_LCV,21,1997,High_Exp,18,1997,Poor,28,1997,Coastal,30
1997,Rep,19,1997,Low_hdays,25,1997,Low_cdays,34,1997,Low_LCV,29,1997,Low_ExP,32,1997,Rich,22,1997,NonCoastal,20
1998,Dem,31,1998,High_hdays,25,1998,High_cdays,17,1998,High_LCV,23,1998,High_Exp,20,1998,Poor,29,1998,Coastal,30
1998,Rep,19,1998,Low_hdays,25,1998,Low_cdays,33,1998,Low_LCV,27,1998,Low_ExP,30,1998,Rich,21,1998,NonCoastal,20
1999,Dem,31,1999,High_hdays,27,1999,High_cdays,19,1999,High_LCV,21,1999,High_Exp,17,1999,Poor,30,1999,Coastal,30
1999,Rep,19,1999,Low_hdays,23,1999,Low_cdays,31,1999,Low_LCV,29,1999,Low_ExP,33,1999,Rich,20,1999,NonCoastal,20
2000,Dem,31,2000,High_hdays,27,2000,High_cdays,19,2000,High_LCV,23,2000,High_Exp,17,2000,Poor,30,2000,Coastal,30
2000,Rep,19,2000,Low_hdays,23,2000,Low_cdays,31,2000,Low_LCV,27,2000,Low_ExP,33,2000,Rich,20,2000,NonCoastal,20
2001,Dem,20,2001,High_hdays,26,2001,High_cdays,17,2001,High_LCV,23,2001,High_Exp,17,2001,Poor,29,2001,Coastal,30
2001,Rep,30,2001,Low_hdays,24,2001,Low_cdays,33,2001,Low_LCV,27,2001,Low_ExP,33,2001,Rich,21,2001,NonCoastal,20
2002,Dem,20,2002,High_hdays,26,2002,High_cdays,21,2002,High_LCV,22,2002,High_Exp,17,2002,Poor,29,2002,Coastal,30
2002,Rep,30,2002,Low_hdays,24,2002,Low_cdays,29,2002,Low_LCV,28,2002,Low_ExP,33,2002,Rich,21,2002,NonCoastal,20
2003,Dem,20,2003,High_hdays,26,2003,High_cdays,17,2003,High_LCV,21,2003,High_Exp,15,2003,Poor,29,2003,Coastal,30
2003,Rep,30,2003,Low_hdays,24,2003,Low_cdays,33,2003,Low_LCV,29,2003,Low_ExP,35,2003,Rich,21,2003,NonCoastal,20
2004,Dem,20,2004,High_hdays,26,2004,High_cdays,19,2004,High_LCV,21,2004,High_Exp,16,2004,Poor,29,2004,Coastal,30
2004,Rep,30,2004,Low_hdays,24,2004,Low_cdays,31,2004,Low_LCV,29,2004,Low_ExP,34,2004,Rich,21,2004,NonCoastal,20
2005,Dem,19,2005,High_hdays,27,2005,High_cdays,20,2005,High_LCV,22,2005,High_Exp,14,2005,Poor,29,2005,Coastal,30
2005,Rep,31,2005,Low_hdays,23,2005,Low_cdays,30,2005,Low_LCV,28,2005,Low_ExP,36,2005,Rich,21,2005,NonCoastal,20
2006,Dem,19,2006,High_hdays,26,2006,High_cdays,16,2006,High_LCV,23,2006,High_Exp,14,2006,Poor,30,2006,Coastal,30
2006,Rep,31,2006,Low_hdays,24,2006,Low_cdays,34,2006,Low_LCV,27,2006,Low_ExP,36,2006,Rich,20,2006,NonCoastal,20
2007,Dem,19,2007,High_hdays,26,2007,High_cdays,19,2007,High_LCV,24,2007,High_Exp,16,2007,Poor,29,2007,Coastal,30
2007,Rep,31,2007,Low_hdays,24,2007,Low_cdays,31,2007,Low_LCV,26,2007,Low_ExP,34,2007,Rich,21,2007,NonCoastal,20
2008,Dem,19,2008,High_hdays,26,2008,High_cdays,19,2008,High_LCV,25,2008,High_Exp,16,2008,Poor,30,2008,Coastal,30
